# Israeli stand-up comedians catalog (source lines: "Name — [meta…]")
# Parsed by scripts/buildStandupPhrases.mjs

עידו קציר (Ido Katzir) — [שם במה בלבד במבצעי אתרים — מסווג כסטנדאפ לפי רשימת הבית]

אַבּוּ טַבְּלֶה / יוני שרון (Abu Tabla / Yoni Sharon) — [אַבּוּ טַבְּלֶה | לא צוין | לא צוין | עברית+ערבית | פעיל | אזורי | “אבו טבלה וחברים”, מופע קומי־מוזיקלי; זאפה ולוחות מכירה ארציים | אתר רשמי; itaymeiroffice@gmail.com; 050-469-9459 | פרסונת במה קומית־מוזיקלית שמציגה חיבור בין הומור, מוזיקה וזהות מזרח־תיכונית, עם דף קשר רשמי פעיל.]
מיכל ליבדינסקי (Michal Libedinsky) — [מיכל ליבדינסקי | 52 לפי תיאור המופע | לא צוין | עברית | פעילה | אזורי | “גיל ה‑FUCK IT”; מופע אנטי־אייג׳ינג | דפי כרטיסים/אינסטגרם ציבורי | בנתה מופע נושאי מובחן על גיל המעבר, נשיות, גוף והתבגרות, עם סבב הופעות ארצי ב־2026.]

מיקי גבע (Miki Geva), מיקי קם (Miki Kam), מני מלכה (Meni Malka), מאור הרוש (Maor Harush), משה פרסטר (Moshe Perster), מתן לקס (Matan Lax) — [לא צוין | לא צוין | לא צוין | עברית משוערת | לא צוין/נקודתי | נישתי/לא ידוע | קטגוריה/רוסטרים | לא אותר | שמות מוכרים במאגרי הקומדיה והסטנדאפ, אך בחיפוש זה לא נמצא עבורם כרטיס עדכני מלא דיו.]

מני עוזרי (Meni Ozery) — [מני עוזרי | לא צוין | לא צוין | עברית | פעיל | אזורי | אמן בית בסטנד־אפ פקטורי; מופעי סטנדאפ | ליינאפים/כרטיסים ציבוריים | שם יציב במועדוני תל אביב ובלוחות הופעות ארציים.]

מתן פרץ (Matan Peretz) — [מתן פרץ | 37 ב־2025 | לא צוין | עברית | פעיל | ארצי־בולט | סיבוב חדש; ספיישלי אילתורים; זינוק מהרשת והיכל מנורה | Tickchak/Comy/Mevalim | אחד הכוחות העולים־שכבר־עלו של המיינסטרים: קצב, ציניות והיקף הופעות גדול מאוד.]

מתן צור (Matan Zur) — [מתן צור | לא צוין | לא צוין | עברית | פעיל | צומח | “מתן צור עושה סטנדאפ” | Tickchak/פייסבוק/אתרי אירועים | מופע אישי סביב מילואים, משפחה וטראומות חיים קטנות־גדולות, עם הופעות בירושלים, פתח תקווה ובאר שבע.]

נאור ציון (Naor Zion) — [נאור ציון | לא צוין | לא צוין | עברית | פעיל/לא ודאי נקודתית | ארצי־בולט | אינדקסי סטנדאפ ארציים | לוחות/אינדקסים ציבוריים | מהדמויות הגדולות של הסטנדאפ הטלוויזיוני־עממי בישראל, גם אם בחיפוש זה לא נאסף דף רשמי עשיר.]

נגה ד׳אנג׳לי (Noga D’Angeli) — [נגה ד׳אנג׳לי | לא צוין | לא צוין | עברית | פעילה | צומח | אמן בית בסטנד־אפ פקטורי; רוסטרי נשים | ליינאפים ציבוריים במועדון | קומיקאית פעילה בסצנת המועדונים, עם נוכחות ברוסטרים ובהופעות הבית של פקטורי.]

נדב אבקסיס (Nadav Abuksis) — [נדב אבקסיס | לא צוין | לא צוין | עברית | פעיל/לא ודאי נקודתית | אזורי | אינדקסים ולוחות הופעות ארציים | לוחות ציבוריים | שם מבוסס מאוד בקומדיה ובידור ישראליים, שנמנה בעקביות עם קטגוריית הסטנדאפ הארצית.]

נידאל בדארנה (Nidal Badarna) — [נידאל בדארנה | לא צוין | חיפה | ערבית+עברית משוערת | פעיל אך סטטוס ציבורי שנוי במחלוקת | נישתי | סטנדאפ ערבי־ישראלי; הופעות שבוטלו/נעצרו סביב מחלוקות 2025 | רשתות/אתרי חדשות; בוקינג ישיר לא אותר כאן | קול בולט בסטנדאפ הערבי־ישראלי, אך ב־2025 סוקר בעיקר סביב מעצר וביטולי הופעות ולא סביב דף מכירה רשמי.]

נועם שוסטר־אליאסי (Noam Shuster-Eliassi) — [נועם שוסטר־אליאסי | 1987 | לא צוין במקורות שנאספו כאן | עברית+ערבית+אנגלית | פעילה | נישתי | “Coexistence My Ass”; מופעי סטנדאפ אקטיביסטיים | דפי מופע/ויקיפדיה; בוקינג לפי מארחים | קומיקאית ואקטיביסטית שמוגדרת במפורש כמופיעה בעברית, בערבית ובאנגלית, עם מופעים דו/תלת־לשוניים.]

נועה יהודאי (Noa Yehudai) — [נועה יהודאי | לא צוין | לא צוין | עברית | פעילה | צומח | מופע קומי “אמיץ וחשוף” | Comy/Team Productions/Mevalim | סטנדאפיסטית בעלת מופע אישי שמופיע בכמה מוקדים ב־2026, עם דף אמן עברי פעיל.]

נופר סויסה (Nofar Suissa) — [נופר סויסה | 28 לפי דף האמן | גבעתיים | עברית | פעילה | צומח | דף אמן בקומדי בר; מרתוני המועדון | קומדי בר | לפי דף האמן הציבורי היא אמנית אנרגטית ושוברת מוסכמות שמביאה חוויות מזווית נשית צעירה.]

נויה מנדל (Noya Mandel), נחום דידי (Nahum Didi), ניב מג׳ר (Niv Majar), ניקי גולדשטיין (Niki Goldstein), נלי תגר (Nelly Tagar), נועה מנור (Noa Manor) — [לא צוין | לא צוין | לא צוין | עברית משוערת | לא צוין/נקודתי | נישתי/לא ידוע | אינדקסים/רוסטרים | לא אותר | שישה שמות שמזוהים בדפי הרוסטרים/האינדקסים כחלק משדה הסטנדאפ, אבל נותרו עם שכבת אימות דלה יחסית בחיפוש הנוכחי.]

עדי אשכנזי (Adi Ashkenazi) — [עדי אשכנזי | לא צוין במקורות שנאספו כאן | לא צוין | עברית | פעילה | ארצי־בולט | מופע “ישראל 2025”; סבבי הופעות 2026 | Comy/Tickchak/Mevalim | מהמופיעות הגדולות בישראל, שחזרה לבמה עם מופע חדש והמשיכה לסבב ארצי גם ב־2026.]

עודד מנסטר (Oded Menster) — [עודד מנסטר | לא צוין | לא צוין | עברית | פעיל/לא ודאי נקודתית | נישתי | אינדקסי סטנדאפ עבריים | לא אותר | מופיע בקטגוריות הארציות של סטנדאפ, עם מידע דל יחסית במקורות הנוכחיים.]

עומר בורשטיין (Omer Burshtein) — [עומר בורשטיין | לא צוין | לא צוין | עברית | פעיל | צומח | אמן בית בסטנד־אפ פקטורי | ליינאפים ציבוריים במועדון | שם מועדונים פעיל שמופיע בקביעות במרתונים ובסופי־שבוע של תל אביב.]

עופר שכטר (Ofer Shechter) — [עופר שכטר | לא צוין | לא צוין | עברית | פעיל | אזורי | קומדי בר; סטנד־אפ פקטורי; אירועים פרטיים | כרטיסים/בוקינג דרך מועדונים | מהשמות שזזים בין טלוויזיה, קומדיה ובמות סטנדאפ חיות.]

עידן בן דוד (Idan Ben David) — [עידן בן דוד | לא צוין | לא צוין | עברית | פעיל | צומח | מופיע במרתוני קומדי בר ואירועים פרטיים | בוקינג דרך קומדי בר | אחד השמות הקבועים יחסית בסבבי הבית והמרתונים של קומדי בר.]

עידן ניידיץ (Idan Neiditz) — [עידן ניידיץ | לא צוין | לא צוין | עברית | פעיל | צומח | אמן בית בסטנד־אפ פקטורי; דפי קופונים/הופעות | ליינאפים ציבוריים במועדון | מזוהה כאמן סצנה פעיל שמופיע בליינאפים של פקטורי ובאתרי הופעות.]

עידן אלתרמן (Idan Alterman), עופר בן שבת (Ofer Ben Shabbat), עמית חשאי (Amit Heshai) — [לא צוין | לא צוין | לא צוין | עברית | עמית חשאי פעיל; האחרים לא ודאיים נקודתית | נישתי/צומח | עמית: מופעי סולו בפקטורי; האחרים: אינדקסים/קטגוריה | עמית דרך סטנד־אפ פקטורי; לאחרים לא אותר | עמית חשאי הוא שם מועדונים פעיל ומאומת; אלתרמן ובן־שבת מזוהים במקורות ישראליים אך עם מעט מידע עדכני.]

פאטמה (Fatma) — [פאטמה | לא צוין | לא צוין | עברית+ערבית משוערת | פעילה | נישתי | “הסטנדאפיסטית הבדואית הראשונה”; מופע משולב קצב/מוזיקה | אתר רשמי/פייסבוק/יוטיוב ציבורי | פרסונת במה בולטת בזירת הסטנדאפ הבדואי־נשי, המשווקת את עצמה במפורש כראשונה מסוגה.]

צביקה הדר (Tzvika Hadar) — [צביקה הדר | לא צוין | לא צוין | עברית | פעיל/לא ודאי נקודתית | אזורי | אינדקסים ארציים ומופעי בידור | לא אותר דף רשמי עשיר בחיפוש הזה | מזוהה באינדקסים העבריים כמי שפועל גם בזירת הסטנדאפ/בידור החיה.]

צח רוקח (Tzach Rokach) — [צח רוקח | לא צוין | לא צוין | עברית | פעיל/לא ודאי | נישתי | אינדקסים/רוסטרים | לא אותר | שם מזוהה במאגרים ישראליים כסטנדאפיסט, אך ללא כרטיס עדכני עשיר שנאסף כאן.]

קארין פז (Karin Paz) — [קארין פז | לא צוין | לא צוין | עברית | פעילה | צומח | מופיעה במרתוני קומדי בר וברוסטרי נשים | בוקינג דרך קומדי בר/רוסטרים | שם צומח מהשכבה הצעירה והנשית של סצנת המועדונים.]

קובי אריאלי (Kobi Arieli) — [קובי אריאלי | לא צוין | לא צוין | עברית | פעיל/לא ודאי נקודתית | נישתי | אינדקסי סטנדאפ | לא אותר | מזוהה כקומיקאי/בדרן שגם משויך בקטגוריות הסטנדאפ הציבוריות.]

קובי בלולו (Kobi Balulu) — [קובי בלולו | לא צוין | לא צוין | עברית; מופיע גם באנגלית | פעיל | צומח | Comy; חומרים ברשת; open mic באנגלית | Comy/פייסבוק/יוטיוב ציבוריים | סטנדאפיסט ושף שמופיע גם בזירה העברית וגם בקטעי באנגלית, עם נוכחות דיגיטלית נאה.]

קובי מימון (Kobi Maimon) — [קובי מימון | לא צוין | לא צוין | עברית | פעיל | ארצי־בולט | סבבי סטנדאפ ארציים | Comy/Tickchak/אתרי תרבות | ממשיך להופיע בהיקף ארצי רחב ונשאר אחד השמות החזקים במיינסטרים.]

קנדי אבלסון (Kandy Abelson) — [קנדי אבלסון | לא צוין | לא צוין | עברית | פעילה | צומח | קומדי בר; דופק; סרטוני רשת | בוקינג דרך קומדי בר/רוסטרים | שם צומח שמופיע במספר רוסטרים ואתרי הופעות עבריים.]

רותם אבוהב (Rotem Abohav) — [רותם אבוהב | לא צוין | לא צוין | עברית | פעילה | ארצי־בולט | סבבי סטנדאפ ארציים; בדיקות חומרים | Mevalim/סטנד־אפ פקטורי | אחת הקומיקאיות הבולטות בישראל, עם לוחות הופעות יציבים גם ב־2026.]

רביטל ויטלזון יעקבס (Revital Vitalzon Jacobs) — [רביטל ויטלזון יעקבס | לא צוין | לא צוין | עברית | פעילה | אזורי | מופעי סטנדאפ ארציים | לוחות תרבות/דופק | קול נשי־הורי־חברתי בולט יחסית בדור הנוכחי.]

רודי סעדה (Rudi Saada), רועי לוי (Roi Levi), רמי ורד (Rami Vered), רינה פדווה (Rina Padva) — [לא צוין | לא צוין | לא צוין | עברית משוערת | לא צוין/נקודתי | נישתי/לא ידוע | אינדקסים/קטגוריה | לא אותר | ארבעה שמות שמזוהים במאגרים הישראליים כחלק משדה הסטנדאפ/קומדיה, עם שכבת מידע ציבורית לא מלאה.]

רוני ששון (Roni Sassoon) — [רוני ששון | לא צוין | לא צוין | עברית | פעילה | אזורי | מופעי סטנדאפ בירושלים ובתל אביב; קומדי בר | Mevalim/Tickchak/Comy/קומדי בר | קומיקאית פעילה עם דפי אירועים ומועדי הופעות ברורים ב־2026.]

רשף לוי (Reshef Levi) — [רשף לוי | לא צוין | לא צוין | עברית | פעיל | ארצי־בולט | מופע “אינטליגנטי, מצחיק עד דמעות”; סטנדאפ ואלתורים | Comy/Tickchak/Mevalim | מהשמות החדים והמוכרים בקומדיה הישראלית, עם סבב הופעות רחב ב־2026.]

שגיב פרידמן (Shagiv Friedman) — [שגיב פרידמן | לא צוין | לא צוין | עברית | פעיל/לא ודאי נקודתית | נישתי | קטגוריה/אינדקסים | לא אותר | שם ותיק ומזוהה במאגרים העבריים של הסטנדאפ.]

שגית סול (Sagit Sol), שיר ראובן (Shir Reuven), שמואל וילוז׳ני (Shmuel Vilozni) — [לא צוין | לא צוין | לא צוין | עברית משוערת | לא צוין/נקודתי | נישתי | קטגוריה/דפי רוסטרים | לא אותר | שלושה שמות בעלי זיהוי ציבורי מסוים כקומיקאים/סטנדאפיסטים, אך ללא דף בוקינג עדכני מלא בחיפוש זה.]

שחר חסון (Shahar Hason) — [שחר חסון | לא צוין | לא צוין | עברית; מופיע גם באנגלית במתכונות מסוימות | פעיל | ארצי־בולט | מופעי סטנדאפ ארציים; קומדי בר; Open Mic באנגלית; “סטנדאפיסט השנה של mako” ל־2025 | אתר רשמי/קומדי בר/Mevalim | תופעה אנרגטית מתמשכת בז׳אנר, עם לוח הופעות עמוס, מעורבות במות פתוחות באנגלית וזכייה בולטת בדירוגי הפופולריות.]

שלום אסייג (Shalom Assayag) — [שלום אסייג | לא צוין | לא צוין | עברית | פעיל/לא ודאי נקודתית | ארצי־בולט | אינדקסי סטנדאפ ארציים; מורשת במה ארוכה | לא אותר דף רשמי עשיר בחיפוש זה | מהשמות הגדולים ביותר בקומדיה הישראלית, עם משקל היסטורי ברור גם כאשר הפרטים העדכניים שנאספו כאן חלקיים.]

שלומי קוריאט (Shlomi Koriat) — [שלומי קוריאט | לא צוין | לא צוין | עברית | פעיל | ארצי־בולט | מופעי סטנדאפ ארציים | לוחות תרבות/כרטיסים | שם מיינסטרים יציב מאוד שעדיין מופיע בתדירות גבוהה בלוחות 2026.]

שלי בן משה (Shelly Ben Moshe) — [שלי בן משה | לא צוין | לא צוין | עברית | פעילה | צומח | “בין השורות”; צוותא | Tickchak/רוסטרים עבריים | שם צומח שזוהה הן באינדקס stand‑up והן בלוחות הופעות במועדוני תרבות.]

תום יער (Tom Ya’ar) — [תום יער | לא צוין | לא צוין | עברית | פעילה | ארצי־בולט | “אופטימית זהירה” | Comy/Tickchak/Tzavta/Mevalim | חזרה לבמה עם מופע אישי חדש על הורות, ישראליות וחיים דיגיטליים, ומיד המשיכה לסבב תאריכים.]

תם אהרון (Tam Aharon) — [תם אהרון | לא צוין | לא צוין | עברית | פעיל/לא ודאי נקודתית | אזורי | אינדקסי סטנדאפ ורוסטרים | לא אותר | נוכח במאגרי הסטנדאפ כקומיקאי מרכזי של סאטירה וטקסט.]

תמיר בוסקילה (Tamir Buskila) — [תמיר בוסקילה | לא צוין | לא צוין | עברית | פעיל | צומח | מופעי סטנדאפ ב‑2026; קטעי רשת ודופק | Mevalim/דופק | שם צומח שבולט במיוחד דרך קטעי וידאו והופעות מועדון עדכניות.]

תמיר בר (Tamir Bar) — [תמיר בר | לא צוין | לא צוין | עברית | פעיל | אזורי | אמן בית/אינדקסים; במה ורשת | סטנד־אפ פקטורי/אינדקסים | דמות מוכרת מהרשת והבמה שהגיעה גם לקטגוריות הסטנדאפ הארציות.]

תומר שרון (Tomer Sharon), תירס סקסואל (Tiras Sexual), נתן ברנד (Natan Brand) — [לא צוין | לנתן ברנד (איש תקשורת): 1964; לסטנדאפיסט/פסנתרן נתן ברנד יש עמימות שמית במקורות | לא צוין | עברית משוערת | לא צוין/היסטורי | לא ידוע/היסטורי | קטגוריה/דפי פירושונים/רוסטר | לא אותר | שלושה שמות שנמצאים בשדה הרחב של הקומדיה/סטנדאפ במקורות, אך במקרה של נתן ברנד יש גם בעיית פירושונים המחייבת זהירות.]
